#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
      11.205603   2.1429066434605745E-04   5.6744023201706992E-05   4.3933670003063979E-01  -8.9684934431326402E-01  -9.2068854051080562E-09   2.2762966267117487E-08   9.1415089902478899E-05   7.1322686401494405E-05
      11.305653   1.5380047402338537E-04   1.6528025615558680E-04   8.1632046833614280E-01   5.7518626472486722E-01  -2.1844698641984576E-08  -1.3153476183247470E-08  -1.0801872276038168E-04  -4.7744411813484886E-05
      11.405703   4.2697369260339131E-05   2.2588316184282329E-04  -6.9663033547899278E-01   7.1538921250834209E-01   1.7049315050032821E-08  -2.0249921696066653E-08   1.1856018002659390E-04   2.0330952574648233E-05
      11.505753  -8.5923745945975518E-05   2.1768760349629156E-04  -5.9658403048469044E-01  -8.0063375972738016E-01   1.7967796375750744E-08   2.0781391350810366E-08  -1.2215526002527465E-04   9.3524671928298342E-06
      11.605803  -1.9222216841696655E-04   1.4073312339097589E-04   8.8459839762036285E-01  -4.6288007812202059E-01  -2.4228768383954824E-08   1.5007899684289783E-08   1.1832057165949100E-04  -3.9542974357240685E-05
      11.705853  -2.4192590175328650E-04   1.6721632918645734E-05   3.1762464755497050E-01   9.4642805551125642E-01  -1.1404404700113280E-08  -2.7268089947476984E-08  -1.0701960183826352E-04   6.8383579416085463E-05
      11.805903  -2.1733986252615089E-04  -1.1703305313931001E-04  -9.8458083634468607E-01   1.6445330010944714E-01   2.9781146763940836E-08  -7.2163379690251542E-09   8.8682165550940756E-05  -9.4035754528783383E-05
      11.905953  -1.2352394082350249E-04  -2.1880091144206411E-04  -7.1988009836564115E-03  -9.9810759832043172E-01   2.5237451267267488E-09   3.1660869459146368E-08  -6.4194758487851576E-05   1.1479441483362128E-04
      12.006003   1.2483939329059287E-05  -2.5542764486396747E-04   9.8667556162086423E-01   1.5020486138774689E-01  -3.2813458002850515E-08  -2.5773448527298404E-09   3.4861221459490263E-05  -1.2919841560187734E-04
      12.106053   1.4940347905684209E-04  -2.1308630290756150E-04  -3.0382096566456190E-01   9.5057647542488566E-01   7.9776158040667527E-09  -3.3157681947337814E-08  -2.3351716370344747E-06   1.3612977222318540E-04
      12.206103   2.4421226881563343E-04  -1.0231610812449689E-04  -8.9071914453802237E-01  -4.4980858963131037E-01   3.2624849670773177E-08   1.3553693934548194E-08  -3.1472323626447926E-05  -1.3489523466007796E-04
      12.306153   2.6563456421470393E-04   4.4442474947526951E-05   5.8451871546635437E-01  -8.0860650703950709E-01  -1.9166260984554429E-08   3.1162338343451723E-08   6.4504544159299778E-05   1.2528460397097325E-04
      12.406203   2.0439826559552688E-04   1.8230104727180057E-04   7.0629784154325181E-01   7.0458550122567931E-01  -2.8740295121218451E-08  -2.4660906683057756E-08  -9.4683659336638307E-05  -1.0760127265138171E-04
