#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  1.85592796398199127E+01  1.44952282747783450E+01  0.00000000000000000E+00
  1.86593296648324198E+01  1.46671131340581304E+01  0.00000000000000000E+00
  1.87593796898449234E+01  1.48402256471553802E+01  0.00000000000000000E+00
  1.88594297148574306E+01  1.50145699501374708E+01  0.00000000000000000E+00
  1.89594797398699377E+01  1.51901501821199876E+01  0.00000000000000000E+00
  1.90595297648824413E+01  1.53669704849940949E+01  0.00000000000000000E+00
  1.91595797898949485E+01  1.55450350031535258E+01  0.00000000000000000E+00
  1.92596298149074556E+01  1.57243478832207302E+01  0.00000000000000000E+00
  1.93596798399199628E+01  1.59049132737725252E+01  0.00000000000000000E+00
  1.94597298649324699E+01  1.60867353250652094E+01  0.00000000000000000E+00
  1.95597798899449735E+01  1.62698181887590607E+01  0.00000000000000000E+00
  1.96598299149574807E+01  1.64541660176422297E+01  0.00000000000000000E+00
  1.97598799399699878E+01  1.66397829653541223E+01  0.00000000000000000E+00
  1.98599299649824914E+01  1.68266731861082590E+01  0.00000000000000000E+00
  1.99599799899949986E+01  1.70148408344146382E+01  0.00000000000000000E+00
  2.00600300150075057E+01  1.72042900648014765E+01  0.00000000000000000E+00
  2.01600800400200129E+01  1.73950250315366333E+01  0.00000000000000000E+00
  2.02601300650325200E+01  1.75870498883483179E+01  0.00000000000000000E+00
  2.03601800900450236E+01  1.77803687881454522E+01  0.00000000000000000E+00
  2.04602301150575308E+01  1.79749858827377231E+01  0.00000000000000000E+00
  2.05602801400700379E+01  1.81709053225547805E+01  0.00000000000000000E+00
  2.06603301650825415E+01  1.83681312563653840E+01  0.00000000000000000E+00
  2.07603801900950486E+01  1.85666678309959714E+01  0.00000000000000000E+00
  2.08604302151075558E+01  1.87665191910487543E+01  0.00000000000000000E+00
  2.09604802401200629E+01  1.89676894786195476E+01  0.00000000000000000E+00
  2.10605302651325701E+01  1.91701828330150512E+01  0.00000000000000000E+00
  2.11605802901450737E+01  1.93740033904698770E+01  0.00000000000000000E+00
  2.12606303151575808E+01  1.95791552838632441E+01  0.00000000000000000E+00
  2.13606803401700880E+01  1.97856426424351746E+01  0.00000000000000000E+00
