#                  t [au]                       00                       01                       0i                       0r                       10                       11                       1i                       1r                       i0                       i1                       ii                       ir                       r0                       r1                       ri                       rr
  1.83532523199912620E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99986151352250219E-01  0.00000000000000000E+00  1.33063787118714086E-05  5.42268328210711272E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.83739436980295825E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99987526089571199E-01  0.00000000000000000E+00  1.19276386093031249E-05  5.46271109038615154E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.83946350760679054E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99988764257246254E-01  0.00000000000000000E+00  1.06857620899927474E-05  5.49979952232324981E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.84153264541062260E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99989855099921110E-01  0.00000000000000000E+00  9.59148035695819658E-06  5.53419009380512816E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.84360178321445489E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99990792669494644E-01  0.00000000000000000E+00  8.65071562254652699E-06  5.56614169691472317E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.84567092101828694E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99991575715292402E-01  0.00000000000000000E+00  7.86469173605226611E-06  5.59592257747295008E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.84774005882211924E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992207419301837E-01  0.00000000000000000E+00  7.23019973224291731E-06  5.62380251427512823E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.84980919662595129E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992694997199227E-01  0.00000000000000000E+00  6.73999753915334380E-06  5.65004546279601516E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.85187833442978358E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993049189078609E-01  0.00000000000000000E+00  6.38331991635708556E-06  5.67490288853298973E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.85394747223361564E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993283665878474E-01  0.00000000000000000E+00  6.14647260715974426E-06  5.69860797277701580E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.85601661003744769E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993414378518408E-01  0.00000000000000000E+00  6.01348368096783106E-06  5.72137082836684471E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.85808574784127998E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993458876723973E-01  0.00000000000000000E+00  5.96678507587916806E-06  5.74337481669622811E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.86015488564511204E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993435623530269E-01  0.00000000000000000E+00  5.98789834967454287E-06  5.76477401155800573E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.86222402344894433E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993363329597762E-01  0.00000000000000000E+00  6.05810050142555156E-06  5.78569181179984832E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.86429316125277638E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993260328910893E-01  0.00000000000000000E+00  6.15904830213368966E-06  5.80622066451937073E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.86636229905660868E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993144014276969E-01  0.00000000000000000E+00  6.27334271948633180E-06  5.82642282472237704E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.86843143686044073E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993030347496648E-01  0.00000000000000000E+00  6.38501857702781805E-06  5.84633204687217143E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.87050057466427302E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992933455282285E-01  0.00000000000000000E+00  6.47994838728856282E-06  5.86595607921069845E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.87256971246810508E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992865318113489E-01  0.00000000000000000E+00  6.54615318174328284E-06  5.88527981354251967E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.87463885027193713E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992835555404302E-01  0.00000000000000000E+00  6.57401697877127733E-06  5.90426893151483616E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.87670798807576942E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992851306736208E-01  0.00000000000000000E+00  6.55640515093156839E-06  5.92287388324467531E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.87877712587960148E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99992917205610010E-01  0.00000000000000000E+00  6.48869026152100187E-06  5.94103403515993217E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  1.88084626368343377E+09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.99993035439245004E-01  0.00000000000000000E+00  6.36869184652895341E-06  5.95868183065359366E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
