# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.5352852852852855E+01   3.0750393917212106E-02  -1.6811846694264329E-01
   1.5427927927927930E+01   3.1290578928999599E-02  -1.6814878223948945E-01
   1.5503003003003004E+01   3.1836964946001862E-02  -1.6817627315391132E-01
   1.5578078078078081E+01   3.2389536329336464E-02  -1.6820102209198257E-01
   1.5653153153153156E+01   3.2948266993847432E-02  -1.6822315472858018E-01
   1.5728228228228229E+01   3.3513121570658486E-02  -1.6824283929399214E-01
   1.5803303303303306E+01   3.4084058020213075E-02  -1.6826026850145928E-01
   1.5878378378378381E+01   3.4661030762698289E-02  -1.6827562269686228E-01
   1.5953453453453454E+01   3.5243993184536096E-02  -1.6828901892178658E-01
   1.6028528528528533E+01   3.5832898532345767E-02  -1.6830045602962981E-01
   1.6103603603603606E+01   3.6427698701446298E-02  -1.6830976902730593E-01
   1.6178678678678679E+01   3.7028341134982254E-02  -1.6831660529610973E-01
   1.6253753753753756E+01   3.7634764761630787E-02  -1.6832043114253625E-01
   1.6328828828828829E+01   3.8246896382831165E-02  -1.6832057021843458E-01
   1.6403903903903906E+01   3.8864648993619674E-02  -1.6831626758048485E-01
   1.6478978978978983E+01   3.9487923117057157E-02  -1.6830676674208078E-01
   1.6554054054054056E+01   4.0116611429896663E-02  -1.6829138392045054E-01
   1.6629129129129129E+01   4.0750605970631557E-02  -1.6826956480980065E-01
   1.6704204204204206E+01   4.1389806344055188E-02  -1.6824091437177427E-01
   1.6779279279279280E+01   4.2034126855615327E-02  -1.6820519783863694E-01
   1.6854354354354356E+01   4.2683500611545612E-02  -1.6816231904827530E-01
   1.6929429429429433E+01   4.3337879325981703E-02  -1.6811228790251254E-01
   1.7004504504504506E+01   4.3997228713530387E-02  -1.6805519031553243E-01
   1.7079579579579580E+01   4.4661520592675349E-02  -1.6799117089410859E-01
   1.7154654654654657E+01   4.5330723797990372E-02  -1.6792043166668769E-01
   1.7229729729729730E+01   4.6004796370125320E-02  -1.6784324165899270E-01
   1.7304804804804807E+01   4.6683681102284158E-02  -1.6775994488210133E-01
   1.7379879879879883E+01   4.7367305445175874E-02  -1.6767095102566637E-01
   1.7454954954954957E+01   4.8055585314875839E-02  -1.6757669541249604E-01
   1.7530030030030030E+01   4.8748430967082035E-02  -1.6747756246166096E-01
   1.7605105105105107E+01   4.9445752269917702E-02  -1.6737377813359960E-01
   1.7680180180180180E+01   5.0147460760224451E-02  -1.6726528838191346E-01
   1.7755255255255257E+01   5.0853466877753523E-02  -1.6715164889817305E-01
   1.7830330330330334E+01   5.1563672498233883E-02  -1.6703195349343025E-01
   1.7905405405405407E+01   5.2277960825147546E-02  -1.6690482305938020E-01
   1.7980480480480480E+01   5.2996187219232965E-02  -1.6676846510995982E-01
   1.8055555555555557E+01   5.3718175079493724E-02  -1.6662079837639079E-01
   1.8130630630630630E+01   5.4443720134921464E-02  -1.6645962202718650E-01
   1.8205705705705707E+01   5.5172604544686810E-02  -1.6628279904742249E-01
   1.8280780780780784E+01   5.5904619519291911E-02  -1.6608842108555594E-01
   1.8355855855855857E+01   5.6639592532213928E-02  -1.6587492833540635E-01
