#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
      34.617309   4.5265549965953458E-02   8.7499549778889063E-01   1.2377711725096625E-03   5.0635260709182457E-03
      34.817409   4.7160321699379629E-02   8.6576526168421730E-01   1.7181296945346823E-03   6.8876183995168812E-03
      35.017509   5.0678051196930453E-02   8.5576832310185880E-01   2.2637032395949985E-03   8.8959464796627401E-03
      35.217609   5.5772989573065583E-02   8.4532447364454355E-01   2.8687865524747161E-03   1.1019429253436540E-02
      35.417709   6.2376176494722956E-02   8.3472483239015405E-01   3.5273068370995147E-03   1.3187428177396168E-02
      35.617809   7.0394546850843620E-02   8.2421577864678708E-01   4.2319380448971539E-03   1.5330909825912634E-02
      35.817909   7.9704572286201911E-02   8.1399701950049630E-01   4.9726420507965703E-03   1.7384710764159487E-02
      36.018009   9.0144810301960476E-02   8.0423046080373106E-01   5.7348823675688844E-03   1.9289067468858972E-02
      36.218109   1.0151376366951143E-01   7.9505134998461069E-01   6.4982028475961849E-03   2.0990767886636088E-02
      36.418209   1.1357710132446555E-01   7.8657334407169066E-01   7.2360646448168982E-03   2.2444246897905046E-02
      36.618309   1.2608276844187266E-01   7.7888473078910636E-01   7.9175013241928171E-03   2.3612849018745555E-02
      36.818409   1.3877756282697348E-01   7.7203990026292990E-01   8.5104019866465291E-03   2.4470444608065654E-02
      37.018509   1.5141759318342057E-01   7.6605407267289749E-01   8.9855101795525225E-03   2.5003444514906992E-02
      37.218609   1.6376866519871919E-01   7.6090790438474887E-01   9.3199946716601336E-03   2.5212851688519229E-02
      37.418709   1.7559873217857760E-01   7.5656285895876674E-01   9.4998180635668117E-03   2.5115548928180211E-02
      37.618809   1.8666864422782628E-01   7.5298240951456230E-01   9.5207264506009387E-03   2.4743936749057765E-02
      37.818909   1.9672755179085427E-01   7.5015179749456551E-01   9.3880512130820482E-03   2.4143335591849537E-02
      38.019010   2.0551734857376017E-01   7.4808981096980054E-01   9.1155722945941500E-03   2.3367073716301243E-02
      38.219110   2.1278758114299778E-01   7.4684850005159398E-01   8.7236251412554418E-03   2.2469955411591608E-02
      38.419210   2.1831720000919272E-01   7.4650135011768948E-01   8.2365902868657588E-03   2.1501758253982463E-02
      38.619310   2.2193448167095986E-01   7.4712581778800280E-01   7.6799959011948872E-03   2.0502751227272430E-02
      38.819410   2.2352727870319247E-01   7.4878744088942017E-01   7.0777089519239939E-03   1.9502264935929877E-02
      39.019510   2.2304334384955318E-01   7.5152813187569156E-01   6.4498541080488143E-03   1.8519722484708137E-02
      39.219610   2.2048727383737923E-01   7.5535604322198568E-01   5.8119129733956885E-03   1.7566685718450655E-02
      39.419710   2.1592017584487144E-01   7.6023413736189949E-01   5.1750154269459801E-03   1.6648873299244363E-02
      39.619810   2.0946308682422676E-01   7.6606803921020228E-01   4.5470770400071990E-03   1.5767921582147969E-02
      39.819910   2.0130165188803631E-01   7.7269633221162481E-01   3.9343020660380004E-03   1.4922994768802962E-02
      40.020010   1.9168872007008114E-01   7.7988713137790688E-01   3.3425682572032606E-03   1.4112204821237873E-02
      40.220110   1.8094091094029735E-01   7.8734496010416655E-01   2.7783081158081428E-03   1.3333667733380071E-02
      40.420210   1.6942533456816578E-01   7.9473071229110459E-01   2.2487597489041188E-03   1.2586142435725157E-02
      40.620310   1.5753640855521239E-01   8.0169264033663978E-01   1.7617801769417840E-03   1.1869407633610555E-02
      40.820410   1.4566904931311583E-01   8.0790002123194349E-01   1.3255338303879501E-03   1.1184561300828618E-02
      41.020510   1.3419730225910256E-01   8.1306960621976510E-01   9.4819568008518574E-04   1.0534201857714247E-02
      41.220610   1.2346302873951213E-01   8.1698055872757724E-01   6.3758375189229099E-04   9.9222036714334480E-03
      41.420710   1.1377215713198803E-01   8.1948048376390348E-01   4.0064174955589026E-04   9.3528968705164361E-03
      41.620810   1.0539363616626042E-01   8.2048643531487675E-01   2.4288564403260340E-04   8.8299300856664060E-03
      41.820910   9.8558846270530243E-02   8.1998213401339393E-01   1.6803156630264672E-04   8.3554111630108115E-03
      42.021011   9.3460659016082970E-02   8.1801285633470677E-01   1.7792275433390316E-04   7.9296111543541246E-03
      42.221111   9.0249824884816948E-02   8.1468221877021352E-01   2.7271586511030591E-04   7.5509444112627725E-03
      42.421211   8.9027293877286584E-02   8.1015278299133198E-01   4.5120360482178625E-04   7.2159324344808233E-03
      42.621311   8.9836362256117033E-02   8.0464438210012401E-01   7.1112827406679064E-04   6.9194473109909322E-03
      42.821411   9.2661581207672039E-02   7.9842050317513913E-01   1.0493541032609024E-03   6.6557726402424076E-03
      43.021511   9.7437268939291707E-02   7.9175991166897897E-01   1.4618297611961545E-03   6.4204243387109700E-03
      43.221611   1.0406196918198260E-01   7.8492036666099385E-01   1.9433667850716704E-03   6.2119652028070505E-03
      43.421711   1.1241294639055714E-01   7.7810434552375030E-01   2.4873367166747548E-03   6.0330594909367326E-03
      43.621811   1.2235638258010943E-01   7.7143417103145517E-01   3.0854077011172013E-03   5.8905721752560156E-03
      43.821911   1.3375056376923436E-01   7.6494160740619821E-01   3.7273638982990407E-03   5.7949259120560386E-03
      44.022011   1.4644076726056107E-01   7.5857544430984480E-01   4.4009103602181757E-03   5.7589363924220715E-03
      44.222111   1.6024774985807391E-01   7.5222663306294535E-01   5.0913133109792780E-03   5.7961994638531149E-03
      44.422211   1.7495616801466282E-01   7.4576382130798091E-01   5.7809129350380913E-03   5.9191014442620911E-03
      44.622311   1.9031107487485660E-01   7.3906694116615423E-01   6.4489103432794201E-03   6.1367933578061664E-03
      44.822411   2.0602612291968464E-01   7.3204848346548390E-01   7.0720140052863258E-03   6.4538312683959098E-03
      45.022511   2.2179839083084096E-01   7.2466157048238411E-01   7.6261909003819640E-03   6.8701731665548015E-03
      45.222611   2.3732041419390978E-01   7.1690247610224700E-01   8.0891117872954037E-03   7.3826100558454536E-03
      45.422711   2.5228472973148641E-01   7.0881454977915970E-01   8.4425661927192818E-03   7.9869930934571825E-03
      45.622811   2.6638319813173200E-01   7.0049402969959274E-01   8.6743729731637350E-03   8.6804619784794212E-03
      45.822911   2.7930465868646509E-01   6.9209507771872547E-01   8.7796233529824456E-03   9.4631040438114544E-03
      46.023012   2.9073359011765249E-01   6.8383149921849373E-01   8.7611062260971578E-03   1.0338431380488273E-02
      46.223112   3.0035524295561478E-01   6.7597040919279261E-01   8.6287546532675726E-03   1.1312004321641150E-02
      46.423212   3.0787347303174811E-01   6.6881175279327432E-01   8.3981753513695228E-03   1.2388353109188793E-02
      46.623312   3.1303885952767802E-01   6.6265441517663071E-01   8.0885839370053187E-03   1.3567739525495504E-02
      46.823412   3.1567446841722713E-01   6.5775979626503134E-01   7.7205497385665787E-03   1.4844614938036391E-02
      47.023512   3.1568848175776953E-01   6.5432458609652977E-01   7.3139080414049212E-03   1.6208260503752705E-02
      47.223612   3.1307464534993118E-01   6.5246545874045958E-01   6.8861201079506561E-03   1.7644515338578897E-02
      47.423712   3.0790847142835698E-01   6.5221139821740459E-01   6.4512646079568923E-03   1.9137246971335304E-02
      47.623812   3.0034430003520801E-01   6.5350020549890164E-01   6.0197421595085806E-03   2.0669009968161258E-02
      47.823912   2.9061391763210448E-01   6.5617868062822393E-01   5.5986562889126573E-03   2.2220932265943526E-02
      48.024012   2.7902653623465146E-01   6.6000672661006976E-01   5.1926469497215076E-03   2.3771873834898993E-02
      48.224112   2.6596829626289636E-01   6.6466707945819614E-01   4.8047668156702425E-03   2.5296901886563347E-02
      48.424212   2.5189515890066239E-01   6.6978534149301283E-01   4.4370258786033357E-03   2.6765507034407707E-02
      48.624312   2.3731251432228692E-01   6.7496382175823622E-01   4.0905555437422882E-03   2.8140394343139353E-02
      48.824412   2.2274239087237555E-01   6.7982469658416733E-01   3.7656806514925665E-03   2.9377601920600942E-02
