#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
        80   9.1710692857748777E-01   1.0966914283314045E-02   2.8330871026669655E+00   1.5472645466957369E+00   2.5289349789046067E-02   1.7748686947971515E-01   1.3405810060585122E-01   8.9714911953540422E-02   2.4962946182368939E-02   5.1788837657982256E-03   3.5252795753597593E-01
        81   9.1627445365011517E-01   1.1164401753010285E-02   2.8313716115426977E+00   1.5435278955471006E+00   2.5449182013205673E-02   1.7725705336659517E-01   1.3470370055877601E-01   9.0119828400821222E-02   2.5318306030894411E-02   5.2564642245264692E-03   3.5476209102778650E-01
        82   9.1544170106222811E-01   1.1358834383106005E-02   2.8296532214776002E+00   1.5397978828783061E+00   2.5608496795744173E-02   1.7702743540400037E-01   1.3534237371572211E-01   9.0518511981885874E-02   2.5686763268725765E-02   5.3332617754239808E-03   3.5701434508928226E-01
        83   9.1460702830786889E-01   1.1551147739190958E-02   2.8279284694780062E+00   1.5360659667155929E+00   2.5767809075653236E-02   1.7679762483964720E-01   1.3597652908406843E-01   9.0911807604460382E-02   2.6068540510555460E-02   5.4099433655446783E-03   3.5928778093050817E-01
        84   9.1376883995913194E-01   1.1742164675404794E-02   2.8261939711432178E+00   1.5323239507904465E+00   2.5927608455552864E-02   1.7656724268904223E-01   1.3660840893362636E-01   9.1300496018947408E-02   2.6463910987837513E-02   5.4871177525452342E-03   3.6158540702078884E-01
        85   9.1292557683037667E-01   1.1932609894648595E-02   2.8244463984726007E+00   1.5285639734331644E+00   2.6088353733770830E-02   1.7633591570371021E-01   1.3724005951359175E-01   9.1685301604956471E-02   2.6873195874542066E-02   5.5653396776159658E-03   3.6391019371254646E-01
        86   9.1207570563828477E-01   1.2123123143688956E-02   2.8226824584884911E+00   1.5247784832812283E+00   2.6250470270903437E-02   1.7610327157193592E-01   1.3787331695074256E-01   9.2066899292381155E-02   2.7296762324575476E-02   5.6451142239187131E-03   3.6626508728510843E-01
        87   9.1121770899748922E-01   1.2314271146189913E-02   2.8208988723419539E+00   1.5209602047836488E+00   2.6414349549716221E-02   1.7586893507310949E-01   1.3850980473006491E-01   9.2445920772797452E-02   2.7735022129970605E-02   5.7269012855476857E-03   3.6865302359453067E-01
        88   9.1035007563450976E-01   1.2506558372895504E-02   2.8190923546527391E+00   1.5171020962301303E+00   2.6580350354163063E-02   1.7563252494175979E-01   1.3915093957705693E-01   9.2822960119204115E-02   2.8188430922447109E-02   5.8111200853850110E-03   3.7107694144209524E-01
        89   9.0947129072794020E-01   1.2700436744808153E-02   2.8172595928835418E+00   1.5131973025688303E+00   2.6748801092158936E-02   1.7539365123982609E-01   1.3979794312516447E-01   9.3198578906397114E-02   2.8657487853665967E-02   5.8981536909140653E-03   3.7353979573406321E-01
        90   9.0857982629646517E-01   1.2896314362716734E-02   2.8153972265743361E+00   1.5092391047584917E+00   2.6920002890294725E-02   1.7515191307711445E-01   1.4045185732568111E-01   9.3573310906787707E-02   2.9142735700826414E-02   5.9883534857560761E-03   3.7604457048533285E-01
        91   9.0767413156312382E-01   1.3094563353619236E-02   2.8135018262745319E+00   1.5052208670760006E+00   2.7094233150842029E-02   1.7490689654335789E-01   1.4111356191268687E-01   9.3947666423959658E-02   2.9644761354124801E-02   6.0820435622596196E-03   3.7859429170995418E-01
        92   9.0675262322693606E-01   1.3295526921179832E-02   2.8115698720143332E+00   1.5011359834493223E+00   2.7271749327605010E-02   1.7465817273977674E-01   1.4178379260180840E-01   9.4322136317055966E-02   3.0164196651336527E-02   6.1795250068541301E-03   3.8119204023799735E-01
        93   9.0581367557232784E-01   1.3499525683774917E-02   2.8095977311533735E+00   1.4969778234813067E+00   2.7452792753426492E-02   1.7440529582621450E-01   1.4246315910883567E-01   9.4697195762601050E-02   3.0701719531839637E-02   6.2810800558979960E-03   3.8384096449763172E-01
        94   9.0485561034564976E-01   1.3706863379042316E-02   2.8075816354401724E+00   1.4927396787352787E+00   2.7637592367157460E-02   1.7414780100396959E-01   1.4315216216987281E-01   9.5073307794789674E-02   3.1258055488363821E-02   6.3869761052691015E-03   3.8654429329986212E-01
        95   9.0387668632481111E-01   1.3917832009092374E-02   2.8055176571069289E+00   1.4884147095206850E+00   2.7826368250426392E-02   1.7388520237745225E-01   1.4385120907103444E-01   9.5450926661392835E-02   3.1833979299609932E-02   6.4974695619763045E-03   3.8930534866337585E-01
        96   9.0287508850524834E-01   1.4132716495094622E-02   2.8034016838154403E+00   1.4839958922619090E+00   2.8019334912920968E-02   1.7361699064781977E-01   1.4456062734633601E-01   9.5830501028818044E-02   3.2430317030551173E-02   6.6128095309201974E-03   3.9212755871393745E-01
        97   9.0184891682106760E-01   1.4351798904728177E-02   2.8012293922578477E+00   1.4794759675507714E+00   2.8216704257819747E-02   1.7334263058711494E-01   1.4528067627559482E-01   9.6212477067520938E-02   3.3047948289968460E-02   6.7332413343461212E-03   3.9501447069038947E-01
        98   9.0079617431523207E-01   1.4575362310661078E-02   2.7989962202019170E+00   1.4748473886106579E+00   2.8418688231583666E-02   1.7306155826949110E-01   1.4601155617568085E-01   9.6597301447402500E-02   3.3687808736288571E-02   6.8590098654914868E-03   3.9796976408520629E-01
        99   8.9971475466866513E-01   1.4803694332917051E-02   2.7966973367578887E+00   1.4701022701310671E+00   2.8625501113761498E-02   1.7277317801549205E-01   1.4675341524093544E-01   9.6985424270976520E-02   3.4350892823799314E-02   6.9903627813003612E-03   4.0099726394066909E-01
       100   8.9860242899113729E-01   1.5037090413500884E-02   2.7943276106249777E+00   1.4652323372228535E+00   2.8837361441461207E-02   1.7247685901960044E-01   1.4750635388110289E-01   9.7377301972544822E-02   3.5038256780437843E-02   7.1275535420027916E-03   4.0410095431552712E-01
